train_loss,train_accuracy,train_perplexity,learning_rate,len_train_ds,len_val_ds,batches_per_epoch,time_per_epoch,fwd_time_in_epoch,epoch,step,val_loss,val_accuracy,val_perplexity,paramnorm_transformer.embedding.weight,paramnorm_transformer.lstm.weight_ih_l0,paramnorm_transformer.lstm.weight_hh_l0,paramnorm_transformer.lstm.bias_ih_l0,paramnorm_transformer.lstm.bias_hh_l0,paramnorm_transformer.lstm.weight_ih_l1,paramnorm_transformer.lstm.weight_hh_l1,paramnorm_transformer.lstm.bias_ih_l1,paramnorm_transformer.lstm.bias_hh_l1,paramnorm_transformer.fc.weight,paramnorm_transformer.fc.bias,full_train_loss,full_train_acc
5.451290607452393,0.0,233.0587615966797,0.0,4704.0,4705.0,10.0,0.8260796070098877,0.02168560028076172,0,9,,,,,,,,,,,,,,,,
,,,,,,,,,1,19,3.336120367050171,0.0,28.109859466552734,1.0010050734319924,0.0521082766354084,0.05189982429146767,0.05094856454624233,0.051146291217675124,0.05209929123520851,0.05206530541181564,0.05360543338774026,0.05382568754970213,0.051784853949952976,0.053432137795693606,3.327373504638672,0.0
4.635517120361328,0.0,103.08120727539062,0.0010000000474974513,4704.0,4705.0,10.0,0.8121631145477295,0.027588844299316406,1,19,,,,,,,,,,,,,,,,
,,,,,,,,,2,29,3.0608222484588623,0.0,21.34510040283203,1.0009293490287918,0.05327048525214195,0.05337822437286377,0.05261120503643646,0.05302940714078581,0.0534503236413002,0.05329592153429985,0.05522074823541272,0.05536276730982624,0.053361751397533866,0.0552767998101237,3.047064781188965,0.0
3.149202823638916,0.0,23.317468643188477,0.0010000000474974513,4704.0,4705.0,10.0,0.8563802242279053,0.022150278091430664,2,29,,,,,,,,,,,,,,,,
,,,,,,,,,3,39,2.974653720855713,0.0,19.582841873168945,1.0008879972233575,0.05394881218671799,0.054131168872117996,0.05332735374962144,0.053893860077168496,0.05406063422560692,0.0538039393723011,0.055931892010337034,0.05608937897815405,0.05500424249218431,0.0568142437024638,2.964306592941284,0.0
2.9993672370910645,0.0,20.072832107543945,0.0010000000474974513,4704.0,4705.0,10.0,0.8672783374786377,0.038152217864990234,3,39,,,,,,,,,,,,,,,,
,,,,,,,,,4,49,2.895688533782959,0.0,18.095956802368164,1.0008313784011489,0.05440141260623932,0.054608073085546494,0.05358404386212098,0.054210783304546165,0.0544348806142807,0.0540742427110672,0.05625344612269483,0.05639529134135825,0.056138352833262746,0.05755365996302957,2.889216184616089,0.0
2.9398441314697266,0.0,18.912899017333984,0.0010000000474974513,4704.0,4705.0,10.0,0.8773562908172607,0.020678043365478516,4,49,,,,,,,,,,,,,,,,
,,,,,,,,,5,59,2.7549850940704346,0.0,15.720806121826172,1.0007263413257417,0.054914381355047226,0.05500487610697746,0.053584128155818,0.054295635447310725,0.054771002382040024,0.054202601313591,0.05628497196538099,0.0564547342028268,0.05696421120065621,0.0578365961211759,2.7485132217407227,0.0
2.8408877849578857,0.0,17.13096809387207,0.0010000000474974513,4704.0,4705.0,10.0,0.881716251373291,0.016678571701049805,5,59,,,,,,,,,,,,,,,,
,,,,,,,,,6,69,2.5793802738189697,0.0,13.18896198272705,1.0005583169011285,0.05555558577179909,0.055590324103832245,0.05360977978149294,0.05433143392676466,0.05529797449707985,0.054448794573545456,0.05609123343948853,0.05634148035252196,0.05776593677653429,0.05809485705397459,2.571176767349243,0.0
2.677706241607666,0.0,14.551677703857422,0.0010000000474974513,4704.0,4705.0,10.0,0.8285722732543945,0.026288270950317383,6,69,,,,,,,,,,,,,,,,
,,,,,,,,,7,79,2.4589757919311523,0.0,11.692829132080078,1.0003836622292306,0.056192390620708466,0.05639626830816269,0.05378204975642516,0.05451198048907321,0.05609786510467529,0.054886337369680405,0.05587480410402903,0.05624865191867672,0.05883709793594872,0.05843786581933053,2.4503586292266846,0.0
2.5160155296325684,0.0,12.37917423248291,0.0010000000474974513,4704.0,4705.0,10.0,0.7802655696868896,0.05568432807922363,7,79,,,,,,,,,,,,,,,,
,,,,,,,,,8,89,2.4029862880706787,0.0,11.056143760681152,1.000244514276345,0.056662414222955704,0.057162728160619736,0.054077451749281955,0.054764750944661225,0.05701851844787598,0.055343613028526306,0.055913126126037556,0.056339014761884076,0.06033505945430052,0.05907584377069374,2.3936731815338135,0.0
2.4247846603393555,0.0,11.299796104431152,0.0010000000474974513,4704.0,4705.0,10.0,0.778660774230957,0.017094135284423828,8,89,,,,,,,,,,,,,,,,
,,,,,,,,,9,99,2.371091365814209,0.0,10.709073066711426,1.0001519525346447,0.056977808475494385,0.0577426441013813,0.05437536147962514,0.05501013516504771,0.057851970195770264,0.05570543184876442,0.0560971129248558,0.056505895208562966,0.06205468715120309,0.059915907962150156,2.361607074737549,0.0
