train_loss,train_accuracy,train_perplexity,learning_rate,len_train_ds,len_val_ds,batches_per_epoch,time_per_epoch,fwd_time_in_epoch,epoch,step,val_loss,val_accuracy,val_perplexity,paramnorm_transformer.embedding.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.linear.weight,full_train_loss,full_train_acc
5.61456298828125,0.0,274.3934631347656,0.0,1882.0,7527.0,4.0,0.1041421890258789,0.014121294021606445,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,7,3.477555751800537,0.0,32.38047790527344,0.9969443082809448,0.0507839061319828,0.05155537277460098,0.0509321354329586,0.05113723874092102,0.05097249522805214,0.050776902586221695,0.051439691334962845,0.05128573253750801,0.05095532909035683,0.05088666453957558,0.05096396058797836,0.05063507333397865,0.0509093776345253,0.9996662139892578,0.0025782035663723946,0.051145147532224655,0.02566607855260372,0.999759316444397,0.00258085411041975,0.05126580595970154,0.05147981643676758,0.05141383782029152,0.05081243813037872,0.05118683725595474,0.051077332347631454,0.05105384811758995,0.05123374983668327,0.051071152091026306,0.05126146972179413,0.05089186877012253,0.05104513838887215,0.051171742379665375,0.9999462962150574,0.002622534753754735,0.05096479132771492,0.0255902037024498,1.0000848770141602,0.002707998501136899,0.05113358050584793,3.471014976501465,0.0
4.433709144592285,0.21253985166549683,84.2433090209961,0.00039999998989515007,1882.0,7527.0,4.0,0.09756803512573242,0.011039257049560547,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,11,3.1120083332061768,0.0,22.46611976623535,0.9968410134315491,0.05093466490507126,0.05169787257909775,0.051088254898786545,0.051268190145492554,0.05116650462150574,0.05098825320601463,0.051665812730789185,0.05148066580295563,0.051139455288648605,0.05105465278029442,0.051120102405548096,0.050858136266469955,0.05105964466929436,0.9992133975028992,0.004936492070555687,0.051348891109228134,0.026021957397460938,0.9993544220924377,0.005018390715122223,0.051394905894994736,0.05162743479013443,0.051557090133428574,0.05101756751537323,0.05140572413802147,0.051217712461948395,0.051196031272411346,0.05148154869675636,0.051293760538101196,0.05137723311781883,0.05103451758623123,0.051226820796728134,0.051332246512174606,0.9996974468231201,0.0050462088547647,0.051125288009643555,0.025904584676027298,1.0014411211013794,0.0057619838044047356,0.05121373385190964,3.0989365577697754,0.0
3.3037190437316895,0.0,27.213659286499023,0.0007999999797903001,1882.0,7527.0,4.0,0.09312844276428223,0.011316061019897461,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,3,15,2.8283169269561768,0.0,16.91696548461914,0.9967492818832397,0.05111616104841232,0.05187297239899635,0.05122397467494011,0.05145231634378433,0.0513826347887516,0.05114300549030304,0.05201112478971481,0.05178860202431679,0.05131034180521965,0.05131234601140022,0.05139164254069328,0.05105108022689819,0.05118843540549278,0.998866081237793,0.006415102165192366,0.051575567573308945,0.02643384411931038,0.9990497827529907,0.006709150969982147,0.051540274173021317,0.05180196836590767,0.05170788615942001,0.051240019500255585,0.05163479968905449,0.05135456100106239,0.05136784538626671,0.051747631281614304,0.05146857723593712,0.05158867686986923,0.05130815505981445,0.05139384791254997,0.051499366760253906,0.9995407462120056,0.006665072403848171,0.05130307748913765,0.026271222159266472,1.0028939247131348,0.008089822717010975,0.05143396556377411,2.8024017810821533,0.0
2.9945228099823,0.0,19.9758243560791,0.0010000000474974513,1882.0,7527.0,4.0,0.07915830612182617,0.01104593276977539,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4,19,2.5878663063049316,0.0,13.301361083984375,0.996684730052948,0.05128554254770279,0.05203612893819809,0.05132906511425972,0.051730722188949585,0.05171193927526474,0.05127294734120369,0.0523817352950573,0.052121203392744064,0.05145096406340599,0.051666028797626495,0.051764070987701416,0.051230646669864655,0.051300160586833954,0.9985933303833008,0.007295052520930767,0.05179942399263382,0.0268132071942091,0.9987914562225342,0.007652553264051676,0.05167612060904503,0.05196192488074303,0.05181506276130676,0.05146732181310654,0.05185277760028839,0.05139731243252754,0.051496244966983795,0.05194585397839546,0.05154649168252945,0.051786962896585464,0.051561255007982254,0.051485370844602585,0.051585853099823,0.9994040727615356,0.007570107467472553,0.05147027224302292,0.026605669409036636,1.0049214363098145,0.010249663144350052,0.051747363060712814,2.554347276687622,0.0
2.722208023071289,0.0,15.21387767791748,0.0010000000474974513,1882.0,7527.0,4.0,0.09207320213317871,0.011052370071411133,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5,23,2.4632158279418945,0.37199416756629944,11.742512702941895,0.9966347217559814,0.05144501104950905,0.05218606814742088,0.05143335461616516,0.05203315615653992,0.052084680646657944,0.05141632258892059,0.052714597433805466,0.05242171138525009,0.05157799646258354,0.052054885774850845,0.052182622253894806,0.05141891911625862,0.05141808092594147,0.9983909130096436,0.007897253148257732,0.052012085914611816,0.027148598805069923,0.9985820055007935,0.008168009109795094,0.05179213359951973,0.05208445340394974,0.05188562721014023,0.05167263746261597,0.052040014415979385,0.051404938101768494,0.05166485533118248,0.052143312990665436,0.05159700661897659,0.0520048514008522,0.05180379003286362,0.05154696851968765,0.05163012072443962,0.9992963075637817,0.008102732710540295,0.05163705348968506,0.026898717507719994,1.0072853565216064,0.01240993570536375,0.052106063812971115,2.4277567863464355,0.31880977749824524
